Date	CPU_AAS
23-Jul	31.89
24-Jul	32.92
25-Jul	31.48
26-Jul	36.53
27-Jul	30.25
28-Jul	10.34
29-Jul	4.96
30-Jul	35.38
31-Jul	44.82
1-Aug	37.61
2-Aug	35.98
3-Aug	31.77
4-Aug	9.02
5-Aug	6.57
6-Aug	36.85
7-Aug	37.66
8-Aug	38.30
9-Aug	37.54
10-Aug	29.24
11-Aug	15.54
12-Aug	7.86
13-Aug	38.33
14-Aug	38.70
15-Aug	34.76
16-Aug	38.15
17-Aug	33.36
18-Aug	12.60
19-Aug	2.55
20-Aug	41.21
21-Aug	51.59
22-Aug	71.98
23-Aug	9.44
24-Aug	16.19
25-Aug	10.47
26-Aug	5.26
27-Aug	8.90
28-Aug	57.00
29-Aug	68.39
30-Aug	52.74
31-Aug	46.49
1-Sep	22.58
2-Sep	19.41
3-Sep	29.36
4-Sep	73.71
5-Sep	72.06
6-Sep	72.78
7-Sep	57.73
8-Sep	33.02
9-Sep	8.32
10-Sep	49.79
11-Sep	56.65
12-Sep	53.60
13-Sep	56.17
14-Sep	51.13
15-Sep	13.01
16-Sep	22.21
17-Sep	46.09
18-Sep	56.12
19-Sep	50.60
20-Sep	52.84
21-Sep	47.86
