Date	Value
23-Jul	5.74
24-Jul	6.45
25-Jul	6.55
26-Jul	4.85
27-Jul	9.31
28-Jul	3.09
29-Jul	0.35
30-Jul	11.46
31-Jul	12.85
1-Aug	11.81
2-Aug	11.25
3-Aug	6.89
4-Aug	1.43
5-Aug	1.15
6-Aug	8.42
7-Aug	11.10
8-Aug	11.08
9-Aug	8.50
10-Aug	6.93
11-Aug	3.72
12-Aug	1.69
13-Aug	8.94
14-Aug	7.89
15-Aug	8.17
16-Aug	8.05
17-Aug	11.01
18-Aug	2.20
19-Aug	0.55
20-Aug	11.10
21-Aug	13.16
22-Aug	11.23
23-Aug	1.64
24-Aug	2.63
25-Aug	2.95
26-Aug	0.67
27-Aug	3.25
28-Aug	18.50
29-Aug	26.86
30-Aug	15.36
31-Aug	14.54
1-Sep	6.07
2-Sep	7.60
3-Sep	10.27
4-Sep	17.67
5-Sep	32.29
6-Sep	34.85
7-Sep	21.06
8-Sep	5.39
9-Sep	2.75
10-Sep	11.70
11-Sep	11.73
12-Sep	12.28
13-Sep	13.52
14-Sep	11.94
15-Sep	3.25
16-Sep	6.25
17-Sep	12.59
18-Sep	9.08
19-Sep	9.71
20-Sep	13.82
21-Sep	10.19
