Source	Value
9/7/2018 7:00:43 PM	29.81
9/7/2018 8:00:50 PM	13.16
9/7/2018 9:00:08 PM	4.42
9/7/2018 10:00:04 PM	3.27
9/7/2018 11:00:10 PM	3.42
9/8/2018 12:00:18 AM	3.63
9/8/2018 1:00:04 AM	4.45
9/8/2018 1:00:05 AM	3.12
9/8/2018 1:00:25 AM	5.88
9/8/2018 2:00:31 AM	10.34
9/8/2018 2:00:38 AM	3.25
9/8/2018 3:00:33 AM	2.77
9/8/2018 3:00:34 AM	3.41
9/8/2018 3:00:42 AM	5.64
9/8/2018 3:00:43 AM	17.64
9/8/2018 4:00:10 AM	3.50
9/8/2018 4:00:14 AM	16.07
9/8/2018 5:00:06 AM	15.03
9/8/2018 5:00:43 AM	4.96
9/8/2018 6:00:14 AM	18.12
9/8/2018 6:00:32 AM	8.48
9/8/2018 7:00:19 AM	13.93
9/8/2018 7:00:23 AM	11.29
9/8/2018 7:00:24 AM	27.28
9/8/2018 8:00:02 AM	10.50
9/8/2018 8:00:05 AM	36.91
9/8/2018 8:00:06 AM	10.17
9/8/2018 9:00:19 AM	32.80
9/8/2018 9:00:39 AM	9.47
9/8/2018 10:00:16 AM	9.52
9/8/2018 10:00:31 AM	7.31
9/8/2018 11:00:01 AM	6.91
9/8/2018 11:00:06 AM	13.74
9/8/2018 12:00:11 PM	8.64
9/8/2018 12:00:41 PM	15.44
9/8/2018 1:00:02 PM	7.06
9/8/2018 1:00:27 PM	14.08
9/8/2018 2:00:04 PM	6.60
9/8/2018 2:00:10 PM	6.47
9/8/2018 3:00:17 PM	16.36
9/8/2018 3:00:29 PM	6.40
9/8/2018 4:00:18 PM	8.64
9/8/2018 4:00:29 PM	12.88
9/8/2018 5:00:01 PM	7.06
9/8/2018 5:00:39 PM	16.31
9/8/2018 6:00:08 PM	6.45
9/8/2018 6:00:49 PM	16.81
9/8/2018 7:00:00 PM	5.53
9/8/2018 7:00:07 PM	16.33
9/8/2018 8:00:07 PM	3.97
9/8/2018 8:00:26 PM	11.05
9/8/2018 9:00:15 PM	4.16
9/8/2018 9:00:45 PM	8.37
9/8/2018 10:00:22 PM	8.98
9/8/2018 11:00:29 PM	3.79
9/8/2018 11:00:33 PM	4.95
9/9/2018 12:00:22 AM	3.97
9/9/2018 12:00:36 AM	3.35
