INSTNAME       ,DB_ID     ,HOSTNAME                      ,        ID,TM               ,      INST,       DUR,       CPU,   LOADAVG,   AAS_CPU,RSRCMGRPCT,  OSCPUPCT,  OSCPUSYS,   OSCPUIO
tesprrn1       ,3956548928,example.com          ,     21584,09/30/18 02:00:35,         1,     59.45,        28,      5.02,3.11722456,         0,11.1329449,2.90899716,.024139934
tesprrn1       ,3956548928,example.com          ,     21585,09/30/18 03:00:02,         1,     60.08,        28,      4.07,2.45380028,         0,8.76357242,2.63636814,.022340004
tesprrn1       ,3956548928,example.com          ,     21587,09/30/18 05:00:12,         1,     60.08,        28,      7.18,3.01682108,         0, 10.774361,2.61046166, .02260749
tesprrn1       ,3956548928,example.com          ,     21593,09/30/18 11:00:24,         1,     60.12,        28,      9.74,10.1923233,         0,36.4011545,5.47372173,.014822369
tesprrn1       ,3956548928,example.com          ,     21594,09/30/18 12:00:31,         1,     60.08,        28,     11.53,9.49840222,         0,33.9228651,5.03805231,.018714088
tesprrn1       ,3956548928,example.com          ,     21603,09/30/18 21:00:24,         1,     60.08,        28,       6.9,6.56300971,         0,23.4393204,4.93421835,.017029919
tesprrn1       ,3956548928,example.com          ,     21607,10/01/18 01:00:07,         1,     60.08,        28,      5.02,4.14403329,.000029721,14.8000892,2.82331088, .02149792
tesprrn1       ,3956548928,example.com          ,     21608,10/01/18 02:00:12,         1,      60.1,        28,      6.62,3.66062673,         0,13.0736669,3.14556097,.026552967
tesprrn1       ,3956548928,example.com          ,     21612,10/01/18 06:00:12,         1,      60.1,        28,      8.83,5.97956184,         0, 21.355578,  4.191942,.015816892
tesprrn1       ,3956548928,example.com          ,     21623,10/01/18 17:00:28,         1,      60.1,        28,     13.62,10.7811703,         0,38.5041795,7.52033317,.018292924
tesprrn1       ,3956548928,example.com          ,     21624,10/01/18 18:00:34,         1,     60.12,        28,      9.31,8.01782368,         0,28.6350846,6.38375777,.014228286
tesprrn1       ,3956548928,example.com          ,     21629,10/01/18 23:00:04,         1,     60.08,        28,      4.68,2.51505409,         0,8.98233604,3.01077868, .02403408
tesprrn1       ,3956548928,example.com          ,     21634,10/02/18 04:00:31,         1,     60.08,        28,      7.22,2.85595284,         0,10.1998316,3.04521498,.029284724
tesprrn1       ,3956548928,example.com          ,     21635,10/02/18 05:00:36,         1,      60.1,        28,      8.73,3.49662784,         0,12.4879566,3.00502139,.017015292
tesprrn1       ,3956548928,example.com          ,     21637,10/02/18 07:00:03,         1,     60.12,        28,      7.77,5.48279457,         0,19.5814092,3.98723712,.017505644
tesprrn1       ,3956548928,example.com          ,     21639,10/02/18 09:00:16,         1,     59.83,        28,      7.43,6.96847911,         0,24.8874254, 4.1457123,.017489057
tesprrn1       ,3956548928,example.com          ,     21648,10/02/18 18:00:10,         1,     59.88,        28,      5.79,4.66694406,         0,16.6676573, 4.0594211,.018935629
tesprrn1       ,3956548928,example.com          ,     21651,10/02/18 21:00:17,         1,     60.12,        28,     12.53, 12.342326,         0,44.0797358,8.68988871,.014584736
tesprrn1       ,3956548928,example.com          ,     21653,10/02/18 23:00:30,         1,     60.12,        28,      9.38,7.18568617,         0,25.6631649,5.90383778,.018822528
tesprrn1       ,3956548928,example.com          ,     21655,10/03/18 01:00:43,         1,     60.12,        28,     11.95,9.23336568,9.9014E-06,32.9762961, 8.2657927, .01583231
tesprrn1       ,3956548928,example.com          ,     21656,10/03/18 02:00:50,         1,     59.23,        28,      7.64,7.07325549,         0,25.2616267,5.89138998,.022811319
tesprrn1       ,3956548928,example.com          ,     21657,10/03/18 03:00:04,         1,     59.97,        28,      10.8, 9.7469483,         0,34.8105297,5.96765068,.016844676
tesprrn1       ,3956548928,example.com          ,     21680,10/04/18 02:00:22,         1,      60.1,        28,     12.14,7.38585968,         0,26.3780703,5.49102686,.023888757
tesprrn1       ,3956548928,example.com          ,     21681,10/04/18 03:00:28,         1,      60.1,        28,     14.57,7.93719634,         0,28.3471298,5.31945765,.026899612
tesprrn1       ,3956548928,example.com          ,     21682,10/04/18 04:00:34,         1,      60.1,        28,      9.28,8.23941209,         0,29.4264718,4.62892203,.022195151
tesprrn1       ,3956548928,example.com          ,     21689,10/04/18 11:00:18,         1,     60.12,        28,     11.69,12.7372831,         0,45.4902966,5.99751475,.019674046
tesprrn1       ,3956548928,example.com          ,     21705,10/05/18 03:00:02,         1,     60.12,        28,     23.83,19.1979762,         0,68.5642006,4.74959404,.012911402
tesprrn1       ,3956548928,example.com          ,     21710,10/05/18 08:00:21,         1,      60.1,        28,      8.18,6.72421797,         0,24.0150642,3.52030346, .02072934
tesprrn1       ,3956548928,example.com          ,     21728,10/06/18 02:00:10,         1,     60.08,        28,      9.02,13.9083495,         0,49.6726768,9.89490787,.018179116
tesprrn1       ,3956548928,example.com          ,     21746,10/06/18 20:00:08,         1,      60.1,        28,      5.51,7.01765391,         0,25.0630497,5.46126496,.018629665
tesprrn1       ,3956548928,example.com          ,     21752,10/07/18 02:00:44,         1,     59.32,        28,      5.91,2.26767631,         0,8.09884398,2.70165175,.027315056
tesprrn1       ,3956548928,example.com          ,     21763,10/07/18 13:00:47,         1,     59.33,        28,     13.74,12.9269185,.000010032,46.1675562,5.67336477,.019502408
tesprrn1       ,3956548928,example.com          ,     21787,10/08/18 13:00:04,         1,      60.1,        28,     20.26,19.5202024,         0,69.7150087,8.15063188,.012924887
tesprrn1       ,3956548928,example.com          ,     21618,10/01/18 12:00:07,         1,     60.12,        28,     19.33, 13.044616,         0,46.5879144,6.20527546,.019040358
tesprrn1       ,3956548928,example.com          ,     21627,10/01/18 21:00:06,         1,      60.1,        28,      5.32, 5.4727066,         0,19.5453807,4.78867562, .01936257
tesprrn1       ,3956548928,example.com          ,     21636,10/02/18 06:00:42,         1,     59.35,        28,      6.44,8.20125807,         0,29.2902074, 5.1622939,.017390781
tesprrn1       ,3956548928,example.com          ,     21641,10/02/18 11:00:12,         1,     60.12,        28,     13.06, 12.939562,         0,46.2127213,6.13301517,.016911561
tesprrn1       ,3956548928,example.com          ,     21643,10/02/18 13:00:27,         1,      60.1,        28,     22.59,11.1711037,         0, 39.896799,6.49369107,  .0160744
tesprrn1       ,3956548928,example.com          ,     21672,10/03/18 18:00:32,         1,      60.1,        28,     14.95,9.01094565,         0,32.1819487,6.24843515,.020947231
