MONTH,MONTH_DATE,PASSENGERS
1,Jan-49,112
2,Feb-49,118
3,Mar-49,132
4,Apr-49,129
5,May-49,121
6,Jun-49,135
7,Jul-49,148
8,Aug-49,148
9,Sep-49,136
10,Oct-49,119
11,Nov-49,104
12,Dec-49,118
13,Jan-50,115
14,Feb-50,126
15,Mar-50,141
16,Apr-50,135
17,May-50,125
18,Jun-50,149
19,Jul-50,170
20,Aug-50,170
21,Sep-50,158
22,Oct-50,133
23,Nov-50,114
24,Dec-50,140
25,Jan-51,145
26,Feb-51,150
27,Mar-51,178
28,Apr-51,163
29,May-51,172
30,Jun-51,178
31,Jul-51,199
32,Aug-51,199
33,Sep-51,184
34,Oct-51,162
35,Nov-51,146
36,Dec-51,166
37,Jan-52,171
38,Feb-52,180
39,Mar-52,193
40,Apr-52,181
41,May-52,183
42,Jun-52,218
43,Jul-52,230
44,Aug-52,242
45,Sep-52,209
46,Oct-52,191
47,Nov-52,172
48,Dec-52,194
49,Jan-53,196
50,Feb-53,196
51,Mar-53,236
52,Apr-53,235
53,May-53,229
54,Jun-53,243
55,Jul-53,264
56,Aug-53,272
57,Sep-53,237
58,Oct-53,211
59,Nov-53,180
60,Dec-53,201
61,Jan-54,204
62,Feb-54,188
63,Mar-54,235
64,Apr-54,227
65,May-54,234
66,Jun-54,264
67,Jul-54,302
68,Aug-54,293
69,Sep-54,259
70,Oct-54,229
71,Nov-54,203
72,Dec-54,229
73,Jan-55,242
74,Feb-55,233
75,Mar-55,267
76,Apr-55,269
77,May-55,270
78,Jun-55,315
79,Jul-55,364
80,Aug-55,347
81,Sep-55,312
82,Oct-55,274
83,Nov-55,237
84,Dec-55,278
85,Jan-56,284
86,Feb-56,277
87,Mar-56,317
88,Apr-56,313
89,May-56,318
90,Jun-56,374
91,Jul-56,413
92,Aug-56,405
93,Sep-56,355
94,Oct-56,306
95,Nov-56,271
96,Dec-56,306
97,Jan-57,315
98,Feb-57,301
99,Mar-57,356
100,Apr-57,348
101,May-57,355
102,Jun-57,422
103,Jul-57,465
104,Aug-57,467
105,Sep-57,404
106,Oct-57,347
107,Nov-57,305
108,Dec-57,336
109,Jan-58,340
110,Feb-58,318
111,Mar-58,362
112,Apr-58,348
113,May-58,363
114,Jun-58,435
115,Jul-58,491
116,Aug-58,505
117,Sep-58,404
118,Oct-58,359
119,Nov-58,310
120,Dec-58,337
121,Jan-59,360
122,Feb-59,342
123,Mar-59,406
124,Apr-59,396
125,May-59,420
126,Jun-59,472
127,Jul-59,548
128,Aug-59,559
129,Sep-59,463
130,Oct-59,407
131,Nov-59,362
132,Dec-59,405
133,Jan-60,417
134,Feb-60,391
135,Mar-60,419
136,Apr-60,461
137,May-60,472
138,Jun-60,535
139,Jul-60,622
140,Aug-60,606
141,Sep-60,508
142,Oct-60,461
143,Nov-60,390
144,Dec-60,432
