Ds	data
1/1/2008	4.804
1/2/2008	5.380
1/3/2008	5.659
1/4/2008	5.598
1/5/2008	5.278
1/6/2008	5.313
1/7/2008	5.673
1/8/2008	5.733
1/9/2008	5.811
1/10/2008	5.881
1/11/2008	5.645
1/12/2008	5.407
1/13/2008	5.323
1/14/2008	5.953
1/15/2008	5.911
1/16/2008	6.050
1/17/2008	6.011
1/18/2008	5.958
1/19/2008	5.371
1/20/2008	5.666
1/21/2008	6.261
1/22/2008	5.943
1/23/2008	6.089
1/24/2008	5.966
1/25/2008	5.916
1/26/2008	5.407
1/27/2008	5.489
1/28/2008	5.892
1/29/2008	5.958
1/30/2008	5.976
2/1/2008	6.159
2/2/2008	5.425
2/3/2008	5.421
2/4/2008	5.916
2/5/2008	6.033
2/6/2008	6.004
2/7/2008	5.894
2/8/2008	6.001
2/9/2008	5.591
2/10/2008	5.609
2/11/2008	6.217
2/12/2008	6.094
2/13/2008	6.040
2/14/2008	6.028
2/15/2008	5.875
2/16/2008	5.613
2/17/2008	5.517
2/18/2008	6.016
2/19/2008	6.174
2/20/2008	6.111
2/21/2008	6.033
2/22/2008	5.922
2/23/2008	5.533
2/24/2008	5.799
2/25/2008	6.071
2/26/2008	6.084
2/27/2008	6.127
2/29/2008	5.976
3/2/2008	5.587
3/5/2008	6.016
3/6/2008	5.979
3/7/2008	5.932
3/8/2008	5.606
3/9/2008	5.714
3/10/2008	6.116
3/11/2008	6.182
3/12/2008	6.127
3/13/2008	6.100
3/14/2008	6.140
3/15/2008	5.673
3/16/2008	5.743
3/17/2008	6.103
3/18/2008	6.033
3/19/2008	6.211
3/20/2008	6.129
3/21/2008	5.945
3/22/2008	5.602
3/23/2008	5.568
3/24/2008	5.826
3/25/2008	6.182
3/26/2008	6.047
3/27/2008	6.105
3/28/2008	6.026
3/29/2008	5.677
3/30/2008	5.756
3/31/2008	6.263
4/1/2008	6.138
4/2/2008	6.107
4/3/2008	6.190
4/4/2008	6.043
4/5/2008	5.852
4/6/2008	5.849
4/7/2008	6.094
4/8/2008	6.232
4/9/2008	6.219
4/10/2008	6.155
4/11/2008	6.292
4/12/2008	5.690
4/13/2008	5.765
4/14/2008	6.227
4/15/2008	6.273
4/16/2008	6.280
4/17/2008	6.263
4/18/2008	6.109
4/19/2008	5.638
4/20/2008	5.670
4/21/2008	6.133
4/22/2008	6.265
4/23/2008	6.107
4/24/2008	6.182
4/25/2008	6.180
4/26/2008	5.841
4/27/2008	5.768
4/28/2008	6.324
4/29/2008	6.252
4/30/2008	6.263
5/1/2008	6.089
5/2/2008	6.174
5/3/2008	5.697
5/4/2008	5.908
5/5/2008	6.332
5/6/2008	6.535
5/7/2008	6.246
5/8/2008	6.217
5/9/2008	6.261
5/10/2008	5.999
5/11/2008	6.033
5/12/2008	6.221
5/13/2008	6.373
5/14/2008	6.308
5/15/2008	6.096
5/16/2008	5.991
5/17/2008	5.170
5/18/2008	5.017
5/19/2008	5.394
5/20/2008	5.587
5/21/2008	5.659
5/22/2008	5.366
5/23/2008	5.328
5/24/2008	4.977
5/25/2008	5.328
5/26/2008	5.193
5/27/2008	5.583
5/28/2008	5.485
5/29/2008	5.666
5/30/2008	5.775
5/31/2008	5.204
6/3/2008	5.545
6/4/2008	5.587
6/5/2008	5.666
6/6/2008	5.677
6/7/2008	5.421
6/8/2008	5.069
6/9/2008	5.352
6/10/2008	6.157
6/11/2008	6.157
6/12/2008	6.786
6/13/2008	6.998
6/14/2008	7.016
6/15/2008	6.688
6/16/2008	6.676
6/17/2008	7.046
6/18/2008	7.081
6/19/2008	7.065
6/20/2008	7.137
6/21/2008	6.968
6/22/2008	6.356
6/23/2008	6.387
6/24/2008	6.764
6/25/2008	6.931
6/26/2008	7.191
6/27/2008	7.184
6/28/2008	7.142
6/29/2008	6.246
6/30/2008	5.313
7/2/2008	6.399
7/3/2008	6.363
7/4/2008	6.192
7/5/2008	5.613
7/6/2008	5.434
7/7/2008	5.908
7/8/2008	5.652
7/9/2008	5.557
7/10/2008	5.583
7/11/2008	5.176
7/12/2008	4.890
8/1/2008	5.268
8/2/2008	5.425
8/3/2008	5.956
8/4/2008	6.337
8/5/2008	6.330
8/6/2008	6.256
8/7/2008	6.263
8/8/2008	6.105
8/9/2008	5.765
8/10/2008	5.775
8/11/2008	6.184
8/12/2008	6.252
8/13/2008	6.180
8/14/2008	6.140
8/15/2008	6.059
8/16/2008	5.663
8/17/2008	5.673
8/18/2008	6.105
8/19/2008	6.207
8/20/2008	6.279
8/21/2008	6.310
8/22/2008	6.014
8/23/2008	6.127
8/24/2008	5.903
8/25/2008	6.321
8/26/2008	6.275
8/27/2008	6.413
8/28/2008	6.389
8/29/2008	6.201
8/30/2008	5.598
8/31/2008	5.771
9/1/2008	6.107
9/2/2008	6.410
9/3/2008	6.450
9/4/2008	6.498
9/5/2008	6.346
9/6/2008	5.805
9/7/2008	5.802
9/8/2008	5.771
9/9/2008	6.091
9/10/2008	6.155
9/11/2008	6.277
9/12/2008	6.380
9/13/2008	5.908
9/14/2008	5.969
9/15/2008	6.356
9/16/2008	6.337
9/17/2008	6.426
9/18/2008	6.368
9/19/2008	6.409
9/20/2008	5.771
9/21/2008	5.380
9/22/2008	5.914
9/23/2008	5.756
9/24/2008	5.878
9/25/2008	5.749
9/26/2008	5.464
9/27/2008	5.881
9/28/2008	5.872
9/29/2008	6.236
9/30/2008	6.019
10/1/2008	5.861
10/2/2008	5.687
10/3/2008	6.019
10/4/2008	5.974
10/5/2008	5.897
10/6/2008	6.303
10/7/2008	6.380
10/8/2008	6.436
10/9/2008	6.323
10/10/2008	5.999
10/11/2008	5.293
10/12/2008	5.017
10/13/2008	5.384
10/14/2008	5.598
10/15/2008	5.717
10/16/2008	5.613
10/17/2008	5.425
10/18/2008	4.990
10/19/2008	4.956
10/20/2008	5.565
10/23/2008	5.505
10/24/2008	5.342
10/25/2008	5.017
10/26/2008	5.165
10/27/2008	5.517
10/28/2008	5.505
10/29/2008	5.398
10/30/2008	5.476
10/31/2008	5.384
11/1/2008	5.050
11/2/2008	4.920
11/3/2008	5.298
11/4/2008	5.497
11/5/2008	5.313
11/6/2008	6.612
11/7/2008	5.687
11/8/2008	5.438
11/9/2008	6.082
11/10/2008	6.227
11/11/2008	6.472
11/12/2008	6.516
11/13/2008	6.365
11/14/2008	6.333
11/15/2008	5.897
11/16/2008	5.878
11/17/2008	6.332
11/18/2008	6.342
11/19/2008	6.454
11/20/2008	6.356
11/21/2008	6.290
11/22/2008	6.089
11/23/2008	6.061
11/24/2008	6.323
11/25/2008	6.372
11/26/2008	6.317
11/27/2008	6.295
11/28/2008	6.122
11/29/2008	6.033
11/30/2008	6.011
12/1/2008	6.280
12/2/2008	6.426
12/3/2008	6.399
12/4/2008	6.385
12/5/2008	6.375
12/6/2008	6.043
12/7/2008	6.163
12/8/2008	6.306
12/9/2008	6.299
12/10/2008	6.337
12/11/2008	6.203
12/12/2008	6.290
12/13/2008	5.878
12/14/2008	5.953
12/15/2008	6.234
12/16/2008	6.258
12/17/2008	6.221
12/18/2008	6.295
12/19/2008	6.194
12/20/2008	5.645
12/21/2008	5.743
12/22/2008	6.284
12/23/2008	6.033
12/24/2008	5.762
12/25/2008	5.525
12/26/2008	5.638
12/27/2008	5.753
12/28/2008	5.652
12/29/2008	5.989
12/30/2008	5.932
12/31/2008	5.914
1/1/2009	5.557
1/2/2009	5.852
1/3/2009	5.956
1/4/2009	6.064
1/5/2009	6.326
1/6/2009	6.238
1/7/2009	8.569
1/8/2009	8.641
1/9/2009	7.589
1/10/2009	6.941
1/11/2009	6.711
1/12/2009	7.270
1/13/2009	7.197
1/14/2009	6.964
1/15/2009	6.743
1/16/2009	6.729
1/17/2009	6.438
1/18/2009	6.271
1/19/2009	6.799
1/20/2009	6.706
1/21/2009	6.706
1/22/2009	6.781
1/23/2009	6.567
1/24/2009	6.312
1/25/2009	6.263
1/26/2009	6.687
1/27/2009	6.685
1/28/2009	6.701
1/29/2009	6.775
1/30/2009	6.693
1/31/2009	6.377
2/1/2009	6.356
2/2/2009	6.687
2/3/2009	6.743
2/4/2009	6.752
2/5/2009	6.774
2/6/2009	6.759
2/7/2009	6.306
2/8/2009	6.373
2/9/2009	6.529
2/10/2009	6.641
2/11/2009	6.727
2/12/2009	6.582
2/13/2009	6.548
2/14/2009	6.146
2/15/2009	6.240
2/16/2009	6.621
2/17/2009	6.779
2/18/2009	6.675
2/19/2009	6.744
2/20/2009	7.078
2/21/2009	6.537
2/22/2009	6.265
2/23/2009	6.654
2/24/2009	6.627
2/25/2009	6.625
2/26/2009	6.782
2/27/2009	6.648
2/28/2009	6.232
3/1/2009	6.292
3/2/2009	6.655
3/3/2009	6.678
3/4/2009	6.956
3/5/2009	6.822
3/6/2009	6.723
3/7/2009	6.333
3/8/2009	6.273
3/9/2009	6.678
3/10/2009	6.652
3/11/2009	6.655
3/12/2009	6.648
3/13/2009	6.575
3/14/2009	6.184
3/15/2009	6.271
3/16/2009	6.629
3/17/2009	6.646
3/18/2009	6.575
3/19/2009	6.568
3/20/2009	6.593
3/21/2009	6.091
3/22/2009	6.038
3/23/2009	6.619
3/24/2009	6.697
3/25/2009	6.581
3/26/2009	6.542
3/27/2009	6.525
3/28/2009	5.948
3/29/2009	5.513
3/30/2009	5.989
3/31/2009	6.096
4/1/2009	6.094
4/2/2009	6.423
4/3/2009	6.370
4/4/2009	6.105
4/5/2009	6.011
4/6/2009	6.454
4/7/2009	6.528
4/8/2009	6.550
4/9/2009	6.572
4/10/2009	6.286
4/11/2009	5.961
4/12/2009	5.989
4/13/2009	6.282
4/14/2009	6.407
4/15/2009	6.721
4/16/2009	6.550
4/17/2009	6.373
4/18/2009	6.052
4/19/2009	6.078
4/20/2009	6.518
4/21/2009	6.457
4/22/2009	6.531
4/23/2009	6.512
4/24/2009	6.454
4/25/2009	6.260
4/26/2009	6.176
4/27/2009	6.368
4/28/2009	6.540
4/29/2009	6.518
4/30/2009	6.501
5/1/2009	6.395
5/2/2009	6.004
5/3/2009	6.026
5/4/2009	6.444
5/5/2009	6.522
5/6/2009	6.548
5/7/2009	6.501
5/8/2009	6.521
5/9/2009	6.066
5/10/2009	6.006
5/11/2009	6.571
5/12/2009	6.692
5/13/2009	6.635
5/14/2009	6.619
5/15/2009	6.561
5/16/2009	6.148
5/17/2009	6.219
5/18/2009	6.574
5/19/2009	6.648
5/20/2009	6.592
5/21/2009	6.575
5/22/2009	6.477
5/23/2009	6.078
5/24/2009	6.009
5/25/2009	6.299
5/26/2009	6.739
5/27/2009	6.652
5/28/2009	6.682
5/29/2009	6.477
5/30/2009	6.131
5/31/2009	6.174
6/1/2009	6.537
